n	stash_sha	date	source_branch	tracked_files	identical_in_trunk	has_untracked	foreign_mark	message_prefix
29	2026-07-20	tooling/needs-720-2026-07-20	17	0	да		tooling-needs-720
30	c7081a3f561b9bfb16a4452661b67084904d577e	2026-07-19	fix/swallow-delivery-trace	0	0	да		wip-before-612
31	686a547c30a03abac3371cd077e2023903260890	2026-06-30	intern/phase0-scaffold	4	0	да		cleanup-before-task-archive-migration-2026-06-30
32	489b7c4f0fdd5a07d1e73c87a70bcfd5cd380db2	2026-06-25	fix/async-v2-track-upload-178	44	0	нет		wip before fix/async-v2-l18-l19-recording-detach
33	f8f69df3c43c2917a7eacf18507f32b5dc169cd9	2026-06-25	db-ap-r1-core-contracts	10	0	да		prep-sprint-wip
34	f8a5e8d0f985d3f4b69e6ec06f07b0937bb41f41	2026-06-24	fix/function-editor-palette	6	1	нет		ritual
35	182d0870b9e2dd4cdfe6ff528621800375ba9c13	2026-06-24	night/smoke-testing-s1-night-build-2026-06-23	65	38	да		night-smoke + u10 hotfix WIP
36	45bb94ecd51fc290a7fadb754c07425d7e56ddc1	2026-06-23	feat/device-board-w0-h2-clipboard-ux	2	0	нет		ritual-artifacts
37	d564f2203565a37d25a027cb3bb0548db7ea798e	2026-06-23	main	40	0	да		wip-before-u10-deploy-branch
38	f34acebb7010d31ed959f334da7a477e5c259b0b	2026-06-22	techies68	17	0	да		techies68-wip-non-db
39	881cd0fdfae043096e8f30a6accf76931751253a	2026-06-21	feat/db-usercases-catalog-u9	7	0	нет		wip registry ritual
40	1400d639683e8e114d4731482afcca8c38b22cbe	2026-06-14	feat/tariff-dataset-ds5-server-provision	3	0	нет		archive-registry
41	69822f7be221fd30c7adaa7409c00116989b277a	2026-06-14	feat/tariff-dataset-ds2-domain	8	0	нет		ds5-wip
42	a3f1cce6a7dc3441b47768ddd34fb86808f4569c	2026-06-13	feat/catchup-media-mcp-ritual	17	3	да		swagger-a5d-wip
43	f39ad5f9c143fec986cf39e67672afcd7fb1f19f	2026-05-14	techies68	6	1	да		telemetry-client-integration
